,YearStart,LocationAbbr,LocationDesc,Question,Data_Value,Data_Value_Alt,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,LocationID,StratificationCategory1,Stratification1
299,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,32.9,32.9,5156.0,,,,Female,,,"(32.84057112200048, -86.63186076199969)",1,Gender,Female
354,2014,AL,Alabama,Percent of adults aged 18 years and older who have an overweight classification,35.1,35.1,1886.0,,55 - 64,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),55 - 64
599,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,33.5,33.5,8190.0,Total,,,,,,"(32.84057112200048, -86.63186076199969)",1,Total,Total
600,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,34.1,34.1,3034.0,,,,Male,,,"(32.84057112200048, -86.63186076199969)",1,Gender,Male
601,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,34.8,34.8,995.0,,,Less than high school,,,,"(32.84057112200048, -86.63186076199969)",1,Education,Less than high school
602,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,35.4,35.4,2622.0,,,High school graduate,,,,"(32.84057112200048, -86.63186076199969)",1,Education,High school graduate
603,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,34.4,34.4,2333.0,,,Some college or technical school,,,,"(32.84057112200048, -86.63186076199969)",1,Education,Some college or technical school
604,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,28.1,28.1,2231.0,,,College graduate,,,,"(32.84057112200048, -86.63186076199969)",1,Education,College graduate
605,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,20.4,20.4,409.0,,18 - 24,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),18 - 24
606,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,31.7,31.7,703.0,,25 - 34,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),25 - 34
607,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,40.9,40.9,839.0,,35 - 44,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),35 - 44
608,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,39.9,39.9,1364.0,,45 - 54,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),45 - 54
609,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,37.4,37.4,1886.0,,55 - 64,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),55 - 64
610,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,28.9,28.9,2989.0,,65 or older,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),65 or older
611,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,34.5,34.5,1108.0,,,,,"Less than $15,000",,"(32.84057112200048, -86.63186076199969)",1,Income,"Less than $15,000"
612,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,40.6,40.6,1406.0,,,,,"$15,000 - $24,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$15,000 - $24,999"
614,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,35.4,35.4,776.0,,,,,"$25,000 - $34,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$25,000 - $34,999"
615,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,35.5,35.5,986.0,,,,,"$35,000 - $49,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$35,000 - $49,999"
616,2014,AL,Alabama,Percent of adults aged 18 years and older who have obesity,32.4,32.4,959.0,,,,,"$50,000 - $74,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$50,000 - $74,999"
