,YearStart,LocationAbbr,LocationDesc,Question,Data_Value,Data_Value_Alt,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,LocationID,StratificationCategory1,Stratification1
387,2015,US,National,Percent of adults aged 18 years and older who have obesity,28.9,28.9,398316.0,Total,,,,,,,59,Total,Total
423,2015,US,National,Percent of adults aged 18 years and older who have obesity,10.2,10.2,8324.0,,,,,,Asian,,59,Race/Ethnicity,Asian
613,2015,US,National,Percent of adults aged 18 years and older who have obesity,24.3,24.3,1691.0,,,,,,Other,,59,Race/Ethnicity,Other
35289,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,24.1,24.1,91.0,,,,,,Hispanic,"(64.84507995700051, -147.72205903599973)",2,Race/Ethnicity,Hispanic
37966,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,41.1,41.1,836.0,,35 - 44,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),35 - 44
38182,2015,AK,Alaska,Percent of adults aged 18 years and older who have obesity,33.1,33.1,459.0,,35 - 44,,,,,"(64.84507995700051, -147.72205903599973)",2,Age (years),35 - 44
39889,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,33.4,33.4,773.0,,35 - 44,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),35 - 44
39989,2015,AZ,Arizona,Percent of adults aged 18 years and older who have obesity,33.4,33.4,1419.0,,55 - 64,,,,,"(34.865970280000454, -111.76381127699972)",4,Age (years),55 - 64
40310,2015,AR,Arkansas,Percent of adults aged 18 years and older who have obesity,42.2,42.2,661.0,,45 - 54,,,,,"(34.74865012400045, -92.27449074299966)",5,Age (years),45 - 54
41461,2015,AR,Arkansas,Percent of adults aged 18 years and older who have obesity,32.4,32.4,84.0,,,,,,Hispanic,"(34.74865012400045, -92.27449074299966)",5,Race/Ethnicity,Hispanic
41516,2015,AR,Arkansas,Percent of adults aged 18 years and older who have obesity,39.9,39.9,412.0,,35 - 44,,,,,"(34.74865012400045, -92.27449074299966)",5,Age (years),35 - 44
41517,2015,CA,California,Percent of adults aged 18 years and older who have obesity,27.7,27.7,1988.0,,45 - 54,,,,,"(37.63864012300047, -120.99999953799971)",6,Age (years),45 - 54
41551,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,29.8,29.8,2420.0,,,,Male,,,"(43.682630005000476, -114.3637300419997)",16,Gender,Male
41553,2015,CO,Colorado,Percent of adults aged 18 years and older who have obesity,24.1,24.1,1996.0,,45 - 54,,,,,"(38.843840757000464, -106.13361092099967)",8,Age (years),45 - 54
42919,2015,CO,Colorado,Percent of adults aged 18 years and older who have obesity,24.1,24.1,2711.0,,55 - 64,,,,,"(38.843840757000464, -106.13361092099967)",8,Age (years),55 - 64
42972,2015,CT,Connecticut,Percent of adults aged 18 years and older who have obesity,29.0,29.0,1867.0,,45 - 54,,,,,"(41.56266102000046, -72.64984095199964)",9,Age (years),45 - 54
43174,2015,CT,Connecticut,Percent of adults aged 18 years and older who have obesity,29.5,29.5,2567.0,,55 - 64,,,,,"(41.56266102000046, -72.64984095199964)",9,Age (years),55 - 64
43405,2015,DE,Delaware,Percent of adults aged 18 years and older who have obesity,33.4,33.4,801.0,,55 - 64,,,,,"(39.008830667000495, -75.57774116799965)",10,Age (years),55 - 64
44105,2015,DE,Delaware,Percent of adults aged 18 years and older who have obesity,36.3,36.3,560.0,,45 - 54,,,,,"(39.008830667000495, -75.57774116799965)",10,Age (years),45 - 54
44159,2015,FL,Florida,Percent of adults aged 18 years and older who have an overweight classification,42.5,42.5,3895.0,,,,Male,,,"(28.932040377000476, -81.92896053899966)",12,Gender,Male
44476,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,30.2,30.2,484.0,,35 - 44,,,,,"(32.83968109300048, -83.62758034599966)",13,Age (years),35 - 44
44690,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,31.5,31.5,377.0,,25 - 34,,,,,"(32.83968109300048, -83.62758034599966)",13,Age (years),25 - 34
45770,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,25.1,25.1,436.0,,18 - 24,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),18 - 24
45771,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,30.2,30.2,2487.0,,65 or older,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),65 or older
45772,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,35.2,35.2,686.0,,25 - 34,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),25 - 34
45773,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,40.3,40.3,1694.0,,55 - 64,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),55 - 64
45774,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,40.6,40.6,1244.0,,45 - 54,,,,,"(32.84057112200048, -86.63186076199969)",1,Age (years),45 - 54
45775,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,29.1,29.1,2068.0,,,College graduate,,,,"(32.84057112200048, -86.63186076199969)",1,Education,College graduate
45776,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,36.5,36.5,2078.0,,,Some college or technical school,,,,"(32.84057112200048, -86.63186076199969)",1,Education,Some college or technical school
45777,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,37.6,37.6,2336.0,,,High school graduate,,,,"(32.84057112200048, -86.63186076199969)",1,Education,High school graduate
45778,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,38.4,38.4,888.0,,,Less than high school,,,,"(32.84057112200048, -86.63186076199969)",1,Education,Less than high school
45779,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,34.9,34.9,2958.0,,,,Male,,,"(32.84057112200048, -86.63186076199969)",1,Gender,Male
45780,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,36.4,36.4,4425.0,,,,Female,,,"(32.84057112200048, -86.63186076199969)",1,Gender,Female
45781,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,31.2,31.2,1298.0,,,,,Data not reported,,"(32.84057112200048, -86.63186076199969)",1,Income,Data not reported
45782,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,32.7,32.7,1427.0,,,,,"$75,000 or greater",,"(32.84057112200048, -86.63186076199969)",1,Income,"$75,000 or greater"
45783,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,34.6,34.6,908.0,,,,,"$50,000 - $74,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$50,000 - $74,999"
45784,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,36.5,36.5,843.0,,,,,"$35,000 - $49,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$35,000 - $49,999"
45785,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,38.8,38.8,683.0,,,,,"$25,000 - $34,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$25,000 - $34,999"
45786,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,39.3,39.3,1302.0,,,,,"$15,000 - $24,999",,"(32.84057112200048, -86.63186076199969)",1,Income,"$15,000 - $24,999"
45787,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,40.5,40.5,922.0,,,,,"Less than $15,000",,"(32.84057112200048, -86.63186076199969)",1,Income,"Less than $15,000"
45788,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,35.6,35.6,7383.0,Total,,,,,,"(32.84057112200048, -86.63186076199969)",1,Total,Total
45789,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Asian,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Asian
45790,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Hawaiian/Pacific Islander,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Hawaiian/Pacific Islander
45791,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Other,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Other
45792,2015,AL,Alabama,Percent of adults aged 18 years and older who have obesity,31.4,31.4,88.0,,,,,,Hispanic,"(32.84057112200048, -86.63186076199969)",1,Race/Ethnicity,Hispanic
