state_name,gender_pc
Alabama,34.375
Alaska,33.375
Arizona,32.55
Arkansas,34.75
California,30.075
Colorado,28.150000000000002
Connecticut,30.799999999999997
Delaware,33.425000000000004
District of Columbia,27.225
Florida,32.025000000000006
Georgia,32.775
Hawaii,28.35
Idaho,32.45
Illinois,33.125
Indiana,33.275
Iowa,33.2
Kansas,33.925000000000004
Kentucky,33.525000000000006
Louisiana,34.625
Maine,33.25
Maryland,32.5
Massachusetts,29.875
Michigan,33.099999999999994
Minnesota,31.25
Mississippi,35.1
Missouri,33.1
Montana,30.275
Nebraska,33.4
Nevada,32.175
New Hampshire,31.725
New Jersey,31.65
New Mexico,32.225
New York,29.799999999999997
North Carolina,32.900000000000006
North Dakota,33.25
Ohio,33.2
Oklahoma,34.425000000000004
Oregon,32.15
Pennsylvania,33.1
Rhode Island,31.35
South Carolina,33.1
South Dakota,32.075
Tennessee,34.349999999999994
Texas,34.224999999999994
Utah,29.675000000000004
Vermont,29.85
Virginia,32.025000000000006
Washington,31.125
West Virginia,35.5
Wisconsin,32.875
Wyoming,32.475
