,year,state,state_name,age_pc,Data_Value_Alt,Question,Sample_Size,Total,Age,GeoLocation,LocationID,StratificationCategory1,Stratification1
0,2015,AL,Alabama,41.1,41.1,Percent of adults aged 18 years and older who have obesity,836.0,,35 - 44,"(32.84057112200048, -86.63186076199969)",1,Age (years),35 - 44
1,2015,AK,Alaska,33.1,33.1,Percent of adults aged 18 years and older who have obesity,459.0,,35 - 44,"(64.84507995700051, -147.72205903599973)",2,Age (years),35 - 44
2,2015,AZ,Arizona,33.4,33.4,Percent of adults aged 18 years and older who have obesity,773.0,,35 - 44,"(34.865970280000454, -111.76381127699972)",4,Age (years),35 - 44
3,2015,AZ,Arizona,33.4,33.4,Percent of adults aged 18 years and older who have obesity,1419.0,,55 - 64,"(34.865970280000454, -111.76381127699972)",4,Age (years),55 - 64
4,2015,AR,Arkansas,42.2,42.2,Percent of adults aged 18 years and older who have obesity,661.0,,45 - 54,"(34.74865012400045, -92.27449074299966)",5,Age (years),45 - 54
5,2015,AR,Arkansas,39.9,39.9,Percent of adults aged 18 years and older who have obesity,412.0,,35 - 44,"(34.74865012400045, -92.27449074299966)",5,Age (years),35 - 44
6,2015,CA,California,27.7,27.7,Percent of adults aged 18 years and older who have obesity,1988.0,,45 - 54,"(37.63864012300047, -120.99999953799971)",6,Age (years),45 - 54
7,2015,CO,Colorado,24.1,24.1,Percent of adults aged 18 years and older who have obesity,1996.0,,45 - 54,"(38.843840757000464, -106.13361092099967)",8,Age (years),45 - 54
8,2015,CO,Colorado,24.1,24.1,Percent of adults aged 18 years and older who have obesity,2711.0,,55 - 64,"(38.843840757000464, -106.13361092099967)",8,Age (years),55 - 64
9,2015,CT,Connecticut,29.0,29.0,Percent of adults aged 18 years and older who have obesity,1867.0,,45 - 54,"(41.56266102000046, -72.64984095199964)",9,Age (years),45 - 54
10,2015,CT,Connecticut,29.5,29.5,Percent of adults aged 18 years and older who have obesity,2567.0,,55 - 64,"(41.56266102000046, -72.64984095199964)",9,Age (years),55 - 64
11,2015,DE,Delaware,33.4,33.4,Percent of adults aged 18 years and older who have obesity,801.0,,55 - 64,"(39.008830667000495, -75.57774116799965)",10,Age (years),55 - 64
12,2015,DE,Delaware,36.3,36.3,Percent of adults aged 18 years and older who have obesity,560.0,,45 - 54,"(39.008830667000495, -75.57774116799965)",10,Age (years),45 - 54
13,2015,GA,Georgia,30.2,30.2,Percent of adults aged 18 years and older who have obesity,484.0,,35 - 44,"(32.83968109300048, -83.62758034599966)",13,Age (years),35 - 44
14,2015,AL,Alabama,25.1,25.1,Percent of adults aged 18 years and older who have obesity,436.0,,18 - 24,"(32.84057112200048, -86.63186076199969)",1,Age (years),18 - 24
15,2015,AL,Alabama,30.2,30.2,Percent of adults aged 18 years and older who have obesity,2487.0,,65 or older,"(32.84057112200048, -86.63186076199969)",1,Age (years),65 or older
16,2015,AL,Alabama,40.3,40.3,Percent of adults aged 18 years and older who have obesity,1694.0,,55 - 64,"(32.84057112200048, -86.63186076199969)",1,Age (years),55 - 64
17,2015,AL,Alabama,40.6,40.6,Percent of adults aged 18 years and older who have obesity,1244.0,,45 - 54,"(32.84057112200048, -86.63186076199969)",1,Age (years),45 - 54
18,2015,AL,Alabama,22.4,22.4,Percent of adults aged 18 years and older who have an overweight classification,436.0,,18 - 24,"(32.84057112200048, -86.63186076199969)",1,Age (years),18 - 24
19,2015,AL,Alabama,33.6,33.6,Percent of adults aged 18 years and older who have an overweight classification,836.0,,35 - 44,"(32.84057112200048, -86.63186076199969)",1,Age (years),35 - 44
20,2015,AL,Alabama,34.5,34.5,Percent of adults aged 18 years and older who have an overweight classification,1244.0,,45 - 54,"(32.84057112200048, -86.63186076199969)",1,Age (years),45 - 54
21,2015,AL,Alabama,36.1,36.1,Percent of adults aged 18 years and older who have an overweight classification,1694.0,,55 - 64,"(32.84057112200048, -86.63186076199969)",1,Age (years),55 - 64
22,2015,AL,Alabama,37.8,37.8,Percent of adults aged 18 years and older who have an overweight classification,2487.0,,65 or older,"(32.84057112200048, -86.63186076199969)",1,Age (years),65 or older
23,2015,AK,Alaska,19.2,19.2,Percent of adults aged 18 years and older who have obesity,193.0,,18 - 24,"(64.84507995700051, -147.72205903599973)",2,Age (years),18 - 24
24,2015,AK,Alaska,30.6,30.6,Percent of adults aged 18 years and older who have obesity,853.0,,55 - 64,"(64.84507995700051, -147.72205903599973)",2,Age (years),55 - 64
25,2015,AK,Alaska,30.8,30.8,Percent of adults aged 18 years and older who have obesity,669.0,,45 - 54,"(64.84507995700051, -147.72205903599973)",2,Age (years),45 - 54
26,2015,AK,Alaska,34.7,34.7,Percent of adults aged 18 years and older who have obesity,844.0,,65 or older,"(64.84507995700051, -147.72205903599973)",2,Age (years),65 or older
27,2015,AK,Alaska,26.3,26.3,Percent of adults aged 18 years and older who have an overweight classification,193.0,,18 - 24,"(64.84507995700051, -147.72205903599973)",2,Age (years),18 - 24
28,2015,AK,Alaska,35.8,35.8,Percent of adults aged 18 years and older who have an overweight classification,844.0,,65 or older,"(64.84507995700051, -147.72205903599973)",2,Age (years),65 or older
29,2015,AK,Alaska,39.9,39.9,Percent of adults aged 18 years and older who have an overweight classification,669.0,,45 - 54,"(64.84507995700051, -147.72205903599973)",2,Age (years),45 - 54
30,2015,AK,Alaska,40.8,40.8,Percent of adults aged 18 years and older who have an overweight classification,853.0,,55 - 64,"(64.84507995700051, -147.72205903599973)",2,Age (years),55 - 64
31,2015,AK,Alaska,43.1,43.1,Percent of adults aged 18 years and older who have an overweight classification,459.0,,35 - 44,"(64.84507995700051, -147.72205903599973)",2,Age (years),35 - 44
32,2015,AZ,Arizona,17.5,17.5,Percent of adults aged 18 years and older who have obesity,284.0,,18 - 24,"(34.865970280000454, -111.76381127699972)",4,Age (years),18 - 24
33,2015,AZ,Arizona,24.2,24.2,Percent of adults aged 18 years and older who have obesity,3142.0,,65 or older,"(34.865970280000454, -111.76381127699972)",4,Age (years),65 or older
34,2015,AZ,Arizona,32.1,32.1,Percent of adults aged 18 years and older who have obesity,1019.0,,45 - 54,"(34.865970280000454, -111.76381127699972)",4,Age (years),45 - 54
35,2015,AZ,Arizona,30.2,30.2,Percent of adults aged 18 years and older who have an overweight classification,284.0,,18 - 24,"(34.865970280000454, -111.76381127699972)",4,Age (years),18 - 24
36,2015,AZ,Arizona,37.0,37.0,Percent of adults aged 18 years and older who have an overweight classification,773.0,,35 - 44,"(34.865970280000454, -111.76381127699972)",4,Age (years),35 - 44
37,2015,AZ,Arizona,38.2,38.2,Percent of adults aged 18 years and older who have an overweight classification,3142.0,,65 or older,"(34.865970280000454, -111.76381127699972)",4,Age (years),65 or older
38,2015,AZ,Arizona,38.4,38.4,Percent of adults aged 18 years and older who have an overweight classification,1019.0,,45 - 54,"(34.865970280000454, -111.76381127699972)",4,Age (years),45 - 54
39,2015,AZ,Arizona,40.9,40.9,Percent of adults aged 18 years and older who have an overweight classification,1419.0,,55 - 64,"(34.865970280000454, -111.76381127699972)",4,Age (years),55 - 64
40,2015,AR,Arkansas,20.7,20.7,Percent of adults aged 18 years and older who have obesity,144.0,,18 - 24,"(34.74865012400045, -92.27449074299966)",5,Age (years),18 - 24
41,2015,AR,Arkansas,29.8,29.8,Percent of adults aged 18 years and older who have obesity,2250.0,,65 or older,"(34.74865012400045, -92.27449074299966)",5,Age (years),65 or older
42,2015,AR,Arkansas,38.8,38.8,Percent of adults aged 18 years and older who have obesity,1068.0,,55 - 64,"(34.74865012400045, -92.27449074299966)",5,Age (years),55 - 64
43,2015,AR,Arkansas,27.5,27.5,Percent of adults aged 18 years and older who have an overweight classification,144.0,,18 - 24,"(34.74865012400045, -92.27449074299966)",5,Age (years),18 - 24
44,2015,AR,Arkansas,32.2,32.2,Percent of adults aged 18 years and older who have an overweight classification,412.0,,35 - 44,"(34.74865012400045, -92.27449074299966)",5,Age (years),35 - 44
45,2015,AR,Arkansas,34.1,34.1,Percent of adults aged 18 years and older who have an overweight classification,661.0,,45 - 54,"(34.74865012400045, -92.27449074299966)",5,Age (years),45 - 54
46,2015,AR,Arkansas,39.2,39.2,Percent of adults aged 18 years and older who have an overweight classification,1068.0,,55 - 64,"(34.74865012400045, -92.27449074299966)",5,Age (years),55 - 64
47,2015,AR,Arkansas,40.4,40.4,Percent of adults aged 18 years and older who have an overweight classification,2250.0,,65 or older,"(34.74865012400045, -92.27449074299966)",5,Age (years),65 or older
48,2015,CA,California,13.6,13.6,Percent of adults aged 18 years and older who have obesity,1149.0,,18 - 24,"(37.63864012300047, -120.99999953799971)",6,Age (years),18 - 24
49,2015,CA,California,22.8,22.8,Percent of adults aged 18 years and older who have obesity,2630.0,,65 or older,"(37.63864012300047, -120.99999953799971)",6,Age (years),65 or older
50,2015,CA,California,26.1,26.1,Percent of adults aged 18 years and older who have obesity,2051.0,,55 - 64,"(37.63864012300047, -120.99999953799971)",6,Age (years),55 - 64
51,2015,CA,California,27.5,27.5,Percent of adults aged 18 years and older who have obesity,1756.0,,35 - 44,"(37.63864012300047, -120.99999953799971)",6,Age (years),35 - 44
52,2015,CA,California,24.0,24.0,Percent of adults aged 18 years and older who have an overweight classification,1149.0,,18 - 24,"(37.63864012300047, -120.99999953799971)",6,Age (years),18 - 24
53,2015,CA,California,36.8,36.8,Percent of adults aged 18 years and older who have an overweight classification,1756.0,,35 - 44,"(37.63864012300047, -120.99999953799971)",6,Age (years),35 - 44
54,2015,CA,California,38.1,38.1,Percent of adults aged 18 years and older who have an overweight classification,2630.0,,65 or older,"(37.63864012300047, -120.99999953799971)",6,Age (years),65 or older
55,2015,CA,California,40.3,40.3,Percent of adults aged 18 years and older who have an overweight classification,2051.0,,55 - 64,"(37.63864012300047, -120.99999953799971)",6,Age (years),55 - 64
56,2015,CA,California,41.0,41.0,Percent of adults aged 18 years and older who have an overweight classification,1988.0,,45 - 54,"(37.63864012300047, -120.99999953799971)",6,Age (years),45 - 54
57,2015,CO,Colorado,11.2,11.2,Percent of adults aged 18 years and older who have obesity,703.0,,18 - 24,"(38.843840757000464, -106.13361092099967)",8,Age (years),18 - 24
58,2015,CO,Colorado,20.0,20.0,Percent of adults aged 18 years and older who have obesity,3989.0,,65 or older,"(38.843840757000464, -106.13361092099967)",8,Age (years),65 or older
59,2015,CO,Colorado,22.5,22.5,Percent of adults aged 18 years and older who have obesity,1517.0,,35 - 44,"(38.843840757000464, -106.13361092099967)",8,Age (years),35 - 44
60,2015,CO,Colorado,21.3,21.3,Percent of adults aged 18 years and older who have an overweight classification,703.0,,18 - 24,"(38.843840757000464, -106.13361092099967)",8,Age (years),18 - 24
61,2015,CO,Colorado,38.8,38.8,Percent of adults aged 18 years and older who have an overweight classification,1996.0,,45 - 54,"(38.843840757000464, -106.13361092099967)",8,Age (years),45 - 54
62,2015,CO,Colorado,39.1,39.1,Percent of adults aged 18 years and older who have an overweight classification,1517.0,,35 - 44,"(38.843840757000464, -106.13361092099967)",8,Age (years),35 - 44
63,2015,CO,Colorado,39.1,39.1,Percent of adults aged 18 years and older who have an overweight classification,2711.0,,55 - 64,"(38.843840757000464, -106.13361092099967)",8,Age (years),55 - 64
64,2015,CO,Colorado,39.3,39.3,Percent of adults aged 18 years and older who have an overweight classification,3989.0,,65 or older,"(38.843840757000464, -106.13361092099967)",8,Age (years),65 or older
65,2015,CT,Connecticut,11.2,11.2,Percent of adults aged 18 years and older who have obesity,461.0,,18 - 24,"(41.56266102000046, -72.64984095199964)",9,Age (years),18 - 24
66,2015,CT,Connecticut,25.5,25.5,Percent of adults aged 18 years and older who have obesity,3978.0,,65 or older,"(41.56266102000046, -72.64984095199964)",9,Age (years),65 or older
67,2015,CT,Connecticut,26.0,26.0,Percent of adults aged 18 years and older who have obesity,1187.0,,35 - 44,"(41.56266102000046, -72.64984095199964)",9,Age (years),35 - 44
68,2015,CT,Connecticut,25.1,25.1,Percent of adults aged 18 years and older who have an overweight classification,461.0,,18 - 24,"(41.56266102000046, -72.64984095199964)",9,Age (years),18 - 24
69,2015,CT,Connecticut,37.3,37.3,Percent of adults aged 18 years and older who have an overweight classification,1187.0,,35 - 44,"(41.56266102000046, -72.64984095199964)",9,Age (years),35 - 44
70,2015,CT,Connecticut,39.2,39.2,Percent of adults aged 18 years and older who have an overweight classification,1867.0,,45 - 54,"(41.56266102000046, -72.64984095199964)",9,Age (years),45 - 54
71,2015,CT,Connecticut,39.6,39.6,Percent of adults aged 18 years and older who have an overweight classification,3978.0,,65 or older,"(41.56266102000046, -72.64984095199964)",9,Age (years),65 or older
72,2015,CT,Connecticut,40.0,40.0,Percent of adults aged 18 years and older who have an overweight classification,2567.0,,55 - 64,"(41.56266102000046, -72.64984095199964)",9,Age (years),55 - 64
73,2015,DE,Delaware,18.2,18.2,Percent of adults aged 18 years and older who have obesity,198.0,,18 - 24,"(39.008830667000495, -75.57774116799965)",10,Age (years),18 - 24
74,2015,DE,Delaware,27.9,27.9,Percent of adults aged 18 years and older who have obesity,1422.0,,65 or older,"(39.008830667000495, -75.57774116799965)",10,Age (years),65 or older
75,2015,DE,Delaware,30.3,30.3,Percent of adults aged 18 years and older who have obesity,359.0,,35 - 44,"(39.008830667000495, -75.57774116799965)",10,Age (years),35 - 44
76,2015,DE,Delaware,27.4,27.4,Percent of adults aged 18 years and older who have an overweight classification,198.0,,18 - 24,"(39.008830667000495, -75.57774116799965)",10,Age (years),18 - 24
77,2015,DE,Delaware,38.5,38.5,Percent of adults aged 18 years and older who have an overweight classification,560.0,,45 - 54,"(39.008830667000495, -75.57774116799965)",10,Age (years),45 - 54
