,year,state,state_name,income_pc,Data_Value_Alt,Question,Sample_Size,Total,Income,GeoLocation,LocationID,StratificationCategory1,Stratification1
0,2015,AL,Alabama,31.2,31.2,Percent of adults aged 18 years and older who have obesity,1298.0,,Data not reported,"(32.84057112200048, -86.63186076199969)",1,Income,Data not reported
1,2015,AL,Alabama,32.7,32.7,Percent of adults aged 18 years and older who have obesity,1427.0,,"$75,000 or greater","(32.84057112200048, -86.63186076199969)",1,Income,"$75,000 or greater"
2,2015,AL,Alabama,34.6,34.6,Percent of adults aged 18 years and older who have obesity,908.0,,"$50,000 - $74,999","(32.84057112200048, -86.63186076199969)",1,Income,"$50,000 - $74,999"
3,2015,AL,Alabama,36.5,36.5,Percent of adults aged 18 years and older who have obesity,843.0,,"$35,000 - $49,999","(32.84057112200048, -86.63186076199969)",1,Income,"$35,000 - $49,999"
4,2015,AL,Alabama,38.8,38.8,Percent of adults aged 18 years and older who have obesity,683.0,,"$25,000 - $34,999","(32.84057112200048, -86.63186076199969)",1,Income,"$25,000 - $34,999"
5,2015,AL,Alabama,39.3,39.3,Percent of adults aged 18 years and older who have obesity,1302.0,,"$15,000 - $24,999","(32.84057112200048, -86.63186076199969)",1,Income,"$15,000 - $24,999"
6,2015,AL,Alabama,40.5,40.5,Percent of adults aged 18 years and older who have obesity,922.0,,"Less than $15,000","(32.84057112200048, -86.63186076199969)",1,Income,"Less than $15,000"
7,2015,AL,Alabama,25.1,25.1,Percent of adults aged 18 years and older who have an overweight classification,922.0,,"Less than $15,000","(32.84057112200048, -86.63186076199969)",1,Income,"Less than $15,000"
8,2015,AL,Alabama,29.6,29.6,Percent of adults aged 18 years and older who have an overweight classification,1298.0,,Data not reported,"(32.84057112200048, -86.63186076199969)",1,Income,Data not reported
9,2015,AL,Alabama,31.0,31.0,Percent of adults aged 18 years and older who have an overweight classification,1302.0,,"$15,000 - $24,999","(32.84057112200048, -86.63186076199969)",1,Income,"$15,000 - $24,999"
10,2015,AL,Alabama,35.2,35.2,Percent of adults aged 18 years and older who have an overweight classification,683.0,,"$25,000 - $34,999","(32.84057112200048, -86.63186076199969)",1,Income,"$25,000 - $34,999"
11,2015,AL,Alabama,35.5,35.5,Percent of adults aged 18 years and older who have an overweight classification,1427.0,,"$75,000 or greater","(32.84057112200048, -86.63186076199969)",1,Income,"$75,000 or greater"
12,2015,AL,Alabama,36.9,36.9,Percent of adults aged 18 years and older who have an overweight classification,843.0,,"$35,000 - $49,999","(32.84057112200048, -86.63186076199969)",1,Income,"$35,000 - $49,999"
13,2015,AL,Alabama,38.3,38.3,Percent of adults aged 18 years and older who have an overweight classification,908.0,,"$50,000 - $74,999","(32.84057112200048, -86.63186076199969)",1,Income,"$50,000 - $74,999"
14,2015,AK,Alaska,21.9,21.9,Percent of adults aged 18 years and older who have obesity,330.0,,Data not reported,"(64.84507995700051, -147.72205903599973)",2,Income,Data not reported
