,Address,City,Latitude,Longitude,State,Restaurant
0,324 Main St,Massena,44.9213,-74.89021,NY,McDonald's
1,530 Clinton Ave,Washington Court House,39.53255,-83.44526,OH,Wendy's
2,408 Market Square Dr,Maysville,38.627359999999996,-83.79141,KY,Frisch's Big Boy
3,6098 State Highway 37,Massena,44.95008,-74.84553000000001,NY,McDonald's
4,139 Columbus Rd,Athens,39.35155,-82.09728,OH,OMG! Rotisserie
5,4182 Tonya Trl,Hamilton,39.4176,-84.47641,OH,Domino's Pizza
6,590 S Main St,Englewood,39.869690000000006,-84.29358,OH,Domino's Pizza
7,401 N Jennings St,Saluda,34.00598,-81.7704,SC,McDonald's
8,205 W Church St,Batesburg,33.91335,-81.5333,SC,Wendy's
9,2711 W. Kings Highway Ste. 18,Paragould,36.06107,-90.52325,AR,Pizza Hut
10,613 W Center St,Sheridan,34.30687,-92.40784000000001,AR,SONIC Drive-In
11,512 Highway 425 S Lot B,Monticello,33.61937,-91.80232,AR,Domino's Pizza
12,1535 NW 50th St,Oklahoma City,35.52234,-97.5382,OK,McDonald's
13,125 Towne Center Dr,Lexington,38.06753,-84.53043000000001,KY,Domino's Pizza
14,66 14th St.,Tell City,37.941032,-86.76211500000001,IN,Long John Silver's
15,301 University Blvd,Louisville,38.21999,-85.764824,KY,McDonald's
16,5812 NW Expressway,Oklahoma City,35.54815,-97.61717,OK,McDonald's
17,101 Thomas Garst Ln,Leland,34.23389,-77.99544,NC,Taco Bell
18,1111 New Pointe Blvd,Leland,34.21188,-78.02454,NC,McDonald's
19,782 Old Hickory Blvd Ste 120,Brentwood,36.04222,-86.77995,TN,QDOBA Mexican Eats
20,108 Village Rd NE,Leland,34.234477000000005,-78.000649,NC,McDonald's
21,1116 Old Highway 60,Hardinsburg,37.792640999999996,-86.492762,KY,McDonald's
22,1423 Southwest Pkwy,Wichita Falls,33.85371,-98.50065,TX,McDonald's
23,908 Padre Blvd,South Padre Island,26.09105,-97.1643,TX,McDonald's
24,1131n N Main St,Miami,36.888259999999995,-94.87765999999999,OK,McDonald's
27,301 S Lynn Riggs Blvd,Claremore,36.31069,-95.61759,OK,Domino's Pizza
28,601 E Lincolnway,Minerva,40.732,-81.09812,OH,McDonald's
29,3211 S 4th St,Leavenworth,39.28532,-94.90441,KS,SONIC Drive-In
30,105 Business Loop W,Jamestown,46.898996999999994,-98.707788,ND,Taco Bell
31,1531 University Dr S,Fargo,46.856590000000004,-96.79863,ND,Domino's Pizza
32,718 10th St SE,Jamestown,46.898959999999995,-98.6984,ND,Taco John's
33,1400 24th Ave SW,Minot,48.20858,-101.3128,ND,McDonald's
34,703 S Magnolia St,Woodville,30.768459999999997,-94.41476999999999,TX,Whataburger
35,1535 S Broadway,Minot,48.219459,-101.296022,ND,Pizza Hut
36,775 S Main St,Smithfield,41.82069,-111.83318,UT,Domino's Pizza
37,218 W Main St,Ada,34.77482,-96.68126,OK,Hamburger King
38,3208 S Elm Pl,Broken Arrow,36.01948,-95.79756,OK,SONIC Drive-In
39,3056 Classen Blvd Unit A,Norman,35.18173,-97.41709,OK,Domino's Pizza
40,982 Macon St,Warner Robins,32.59495,-83.58338,GA,Burger King
41,6060 San Mateo Blvd NE,Albuquerque,35.144456,-106.585927,NM,Burger King
42,8401 Gateway Blvd W Ste M4,El Paso,31.77465,-106.38071000000001,TX,McDonald's
43,450 N Harrison Ave,Shawnee,35.33252,-96.91221999999999,OK,SONIC Drive-In
44,9455 SW Barbur Blvd,Portland,45.457027000000004,-122.713696,OR,Taco Time
45,351 River Hill Dr,Ashland,38.48554,-82.658096,KY,McDonald's
46,18000 Bagley Rd,Cleveland,41.373042,-81.826072,OH,Burger King
47,3700 N 1st Ave,Evansville,38.013220000000004,-87.57549,IN,McDonald's
48,895 N Highway 77 Ste 300,Waxahachie,32.412690000000005,-96.84213000000001,TX,Jimmy John's
49,819 SW 19th St,Oklahoma City,35.32026,-97.50536,OK,Domino's Pizza
50,"95-1249 Meheula Parkway,",Mililani,21.453110000000002,-158.01738,HI,Jersey Mike's Subs
51,1625 Veterans Pkwy,Jeffersonville,38.32967,-85.74938,IN,Popeyes Louisiana Kitchen
52,2730 S Hurstbourne Pkwy Suite 100,Louisville,38.212340000000005,-85.59548000000001,KY,QDOBA Mexican Eats
53,5680 Commercial St SE Ste 100,Salem,44.87205,-123.02243,OR,Domino's Pizza
54,2870 W Loop 1604 S,San Antonio,29.4033,-98.70619,TX,Whataburger
55,1321 Herr Ln Ste 150,Louisville,38.26897,-85.61074,KY,QDOBA Mexican Eats
