,City,State,Restaurant
0,Massena,NY,McDonald's
1,Washington Court House,OH,Wendy's
2,Maysville,KY,Frisch's Big Boy
3,Massena,NY,McDonald's
4,Athens,OH,OMG! Rotisserie
5,Hamilton,OH,Domino's Pizza
6,Englewood,OH,Domino's Pizza
7,Saluda,SC,McDonald's
8,Batesburg,SC,Wendy's
9,Paragould,AR,Pizza Hut
10,Sheridan,AR,SONIC Drive-In
11,Monticello,AR,Domino's Pizza
12,Oklahoma City,OK,McDonald's
13,Lexington,KY,Domino's Pizza
14,Tell City,IN,Long John Silver's
15,Louisville,KY,McDonald's
16,Oklahoma City,OK,McDonald's
17,Leland,NC,Taco Bell
18,Leland,NC,McDonald's
19,Brentwood,TN,QDOBA Mexican Eats
20,Leland,NC,McDonald's
21,Hardinsburg,KY,McDonald's
22,Wichita Falls,TX,McDonald's
23,South Padre Island,TX,McDonald's
24,Miami,OK,McDonald's
27,Claremore,OK,Domino's Pizza
28,Minerva,OH,McDonald's
29,Leavenworth,KS,SONIC Drive-In
30,Jamestown,ND,Taco Bell
31,Fargo,ND,Domino's Pizza
32,Jamestown,ND,Taco John's
33,Minot,ND,McDonald's
34,Woodville,TX,Whataburger
35,Minot,ND,Pizza Hut
36,Smithfield,UT,Domino's Pizza
37,Ada,OK,Hamburger King
38,Broken Arrow,OK,SONIC Drive-In
39,Norman,OK,Domino's Pizza
40,Warner Robins,GA,Burger King
41,Albuquerque,NM,Burger King
42,El Paso,TX,McDonald's
43,Shawnee,OK,SONIC Drive-In
44,Portland,OR,Taco Time
45,Ashland,KY,McDonald's
46,Cleveland,OH,Burger King
47,Evansville,IN,McDonald's
48,Waxahachie,TX,Jimmy John's
49,Oklahoma City,OK,Domino's Pizza
50,Mililani,HI,Jersey Mike's Subs
51,Jeffersonville,IN,Popeyes Louisiana Kitchen
52,Louisville,KY,QDOBA Mexican Eats
53,Salem,OR,Domino's Pizza
54,San Antonio,TX,Whataburger
55,Louisville,KY,QDOBA Mexican Eats
56,Bennington,VT,Taco Bell
57,Austin,TX,Whataburger
58,Austin,TX,Whataburger
59,Iron Mountain,MI,Hardee's
60,Hickory,NC,McDonald's
61,Saint Louis,MO,Rally's Hamburgers
63,Auburn,NY,Burger King
64,Richmond,TX,Whataburger
65,Green Bay,WI,Domino's Pizza
66,Maumelle,AR,SONIC Drive-In
67,Sullivan,MO,Taco Bell
68,Memphis,TN,Domino's Pizza
69,Yakima,WA,Taco Bell
70,Branson,MO,Jimmy John's
71,Springdale,AR,Taco Bell
72,La Vergne,TN,Domino's Pizza
74,Fayetteville,NC,Domino's Pizza
75,Bronx,NY,Burger King
76,Dalton,GA,McDonald's
77,West Linn,OR,Jack In The Box
78,Brigham City,UT,SONIC Drive-In
79,Brigham City,UT,Taco Bell
80,Brigham City,UT,Subway
81,Chesterton,IN,Jimmy John's
82,Martin,TN,McDonald's
83,La Crosse,WI,Hardee's
84,Memphis,TN,McDonald's
85,La Crosse,WI,McDonald's
86,Marshfield,WI,Taco John's
87,Marshfield,WI,McDonald's
88,Cleveland,OH,Mr. Hero
89,Yakima,WA,McDonald's
90,West Jordan,UT,McDonald's
91,Indianola,MS,Taco Bell
92,Fort Riley,KS,Domino's Pizza
93,Saint George,UT,Taco Bell
94,Saint George,UT,Taco Bell
95,Lawrence,KS,Pizza Hut
96,Lincoln,NE,Amigos/Kings Classic
97,Overland Park,KS,Raising Cane's Chicken Fingers
98,Sandusky,OH,McDonald's
99,La Marque,TX,Whataburger
100,Rockport,TX,McDonald's
101,Cincinnati,OH,Domino's Pizza
102,Cincinnati,OH,Domino's Pizza
103,New Braunfels,TX,Whataburger
104,Windham,ME,Burger King
105,Spokane,WA,Taco Time
106,Jefferson City,MO,SONIC Drive-In
107,Jefferson City,MO,McDonald's
108,Oxford,MS,Coop DeVille
109,Sidney,NE,McDonald's
110,Auburn,NE,Amigos/Kings Classic
111,Garden City,NY,B. Good
112,Shepherdsville,KY,Domino's Pizza
113,Glasgow,KY,McDonald's
115,Somerset,KY,McDonald's
116,Albuquerque,NM,Domino's Pizza
117,Owensboro,KY,McDonald's
120,Albuquerque,NM,Domino's Pizza
121,Madison,IN,Rally's Hamburgers
126,Cleveland,MS,Backyard Burgers
127,Cleveland,MS,McDonald's
128,Camp Lejeune,NC,Wendy's
129,Duluth,MN,Domino's Pizza
130,Fort Stewart,GA,Burger King
131,Northport,AL,SONIC Drive-In
132,Coralville,IA,Domino's Pizza
133,Hartselle,AL,Taco Bell
134,Elizabeth City,NC,Domino's Pizza
135,Swansboro,NC,McDonald's
136,Sutton,WV,Arby's
137,Burlington,VT,Pacific Rim
138,Bay City,TX,Taco Bell
139,Columbia,SC,Panda Express
140,Ames,IA,Domino's Pizza
141,Laurinburg,NC,Taco Bell
142,Valdosta,GA,Chick-Fil-A
143,Batesburg,SC,Hardee's
144,North Charleston,SC,Domino's Pizza
145,Ottumwa,IA,McDonald's
146,Mexia,TX,McDonald's
148,Corpus Christi,TX,Whataburger
149,Angleton,TX,Jack In The Box
151,Tillamook,OR,McDonald's
152,Franklin,TN,Domino's Pizza
153,Mexico,MO,SONIC Drive-In
154,Park Hills,MO,SONIC Drive-In
155,Phoenix,AZ,Samurai Sam's
156,Andalusia,AL,Arby's
157,Lincoln,NE,Amigos/Kings Classic
158,Clay Center,KS,SONIC Drive-In
159,Tyler,TX,McDonald's
160,Victoria,TX,McDonald's
161,Keyser,WV,Subway
162,Katy,TX,McDonald's
163,Woodway,TX,Whataburger
164,Roma,TX,McDonald's
165,Buffalo,TX,McDonald's
166,Childress,TX,McDonald's
167,Kingsville,TX,Taco Bell
168,Killeen,TX,McDonald's
169,Gilmer,TX,Taco Bell
170,Katy,TX,McDonald's
171,Jasper,TX,McDonald's
172,Bowie,TX,McDonald's
173,New Boston,TX,Taco Bell
174,San Benito,TX,McDonald's
175,Hickory,NC,Domino's Pizza
176,Lonoke,AR,SONIC Drive-In
